"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0031295","GO:0031295","T cell costimulation","3/54","56/18670",0.000568862575525599,0.0117371441603343,0.00874985185985669
"GO:0031294","GO:0031294","lymphocyte costimulation","3/54","57/18670",0.000599241938048259,0.0121166719873358,0.00903278373984323
"GO:0097530","GO:0097530","granulocyte migration","4/54","141/18670",0.000735546499503596,0.013948673992379,0.0103985117169487
"GO:0050871","GO:0050871","positive regulation of B cell activation","4/54","142/18670",0.000755255632455498,0.013948673992379,0.0103985117169487
"GO:0002260","GO:0002260","lymphocyte homeostasis","3/54","62/18670",0.000766689347971872,0.013948673992379,0.0103985117169487
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","6/54","380/18670",0.000774035788757987,0.013948673992379,0.0103985117169487
"GO:1904064","GO:1904064","positive regulation of cation transmembrane transport","4/54","144/18670",0.000795790918139235,0.013948673992379,0.0103985117169487
"GO:0002637","GO:0002637","regulation of immunoglobulin production","3/54","63/18670",0.000803383668358677,0.013948673992379,0.0103985117169487
"GO:0051924","GO:0051924","regulation of calcium ion transport","5/54","254/18670",0.000822744296558843,0.013948673992379,0.0103985117169487
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","5/54","255/18670",0.000837373209263999,0.013948673992379,0.0103985117169487
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","4/54","146/18670",0.000837841542231877,0.013948673992379,0.0103985117169487
"GO:0048247","GO:0048247","lymphocyte chemotaxis","3/54","64/18670",0.00084117720804817,0.013948673992379,0.0103985117169487
"GO:0002467","GO:0002467","germinal center formation","2/54","15/18670",0.000841611388264213,0.013948673992379,0.0103985117169487
"GO:0050867","GO:0050867","positive regulation of cell activation","6/54","394/18670",0.000933806977494945,0.0152270782943127,0.0113515415260846
"GO:0030889","GO:0030889","negative regulation of B cell proliferation","2/54","16/18670",0.000960059922650653,0.0154066759015843,0.0114854286485859
"GO:2000243","GO:2000243","positive regulation of reproductive process","3/54","69/18670",0.00104708325831041,0.0165406433461223,0.0123307831077345
"GO:0034767","GO:0034767","positive regulation of ion transmembrane transport","4/54","156/18670",0.0010719178286063,0.0166363546473615,0.0124021343406849
"GO:0010819","GO:0010819","regulation of T cell chemotaxis","2/54","17/18670",0.00108605282564378,0.0166363546473615,0.0124021343406849
"GO:1904427","GO:1904427","positive regulation of calcium ion transmembrane transport","3/54","71/18670",0.00113758475136171,0.0171656445317417,0.0127967114214452
"GO:0043270","GO:0043270","positive regulation of ion transport","5/54","275/18670",0.00117278970433549,0.017436623398282,0.0129987218003747
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","3/54","73/18670",0.0012328840025525,0.0180644308200083,0.0134667421178884
"GO:0033209","GO:0033209","tumor necrosis factor-mediated signaling pathway","4/54","167/18670",0.00137872231875237,0.0197221341726998,0.0147025332580073
"GO:0007492","GO:0007492","endoderm development","3/54","76/18670",0.0013850361288444,0.0197221341726998,0.0147025332580073
"GO:0006816","GO:0006816","calcium ion transport","6/54","434/18670",0.00153283899725923,0.0215236142531817,0.0160455076321288
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","4/54","175/18670",0.00163717395920877,0.0224389528669385,0.01672787782053
"GO:0035590","GO:0035590","purinergic nucleotide receptor signaling pathway","2/54","21/18670",0.00166461074680553,0.0224389528669385,0.01672787782053
"GO:1901739","GO:1901739","regulation of myoblast fusion","2/54","21/18670",0.00166461074680553,0.0224389528669385,0.01672787782053
"GO:0051279","GO:0051279","regulation of release of sequestered calcium ion into cytosol","3/54","82/18670",0.00172360535713489,0.0229284870534654,0.0170928176690939
"GO:0033622","GO:0033622","integrin activation","2/54","22/18670",0.00182768400794985,0.0236995287606672,0.0176676168386045
"GO:0045445","GO:0045445","myoblast differentiation","3/54","84/18670",0.00184693839999189,0.0236995287606672,0.0176676168386045
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","4/54","181/18670",0.00185189196052691,0.0236995287606672,0.0176676168386045
"GO:0001776","GO:0001776","leukocyte homeostasis","3/54","86/18670",0.00197565181156326,0.0249672997686307,0.0186127196984117
"GO:0002697","GO:0002697","regulation of immune effector process","6/54","458/18670",0.00201185796866039,0.0251109679792056,0.0187198220345788
"GO:0002683","GO:0002683","negative regulation of immune system process","6/54","463/18670",0.00212454299107288,0.0261940605362766,0.019527250084829
"GO:0002377","GO:0002377","immunoglobulin production","4/54","193/18670",0.00233862045650189,0.0280757107273823,0.0209299899847007
"GO:0032461","GO:0032461","positive regulation of protein oligomerization","2/54","25/18670",0.00236047023919634,0.0280757107273823,0.0209299899847007
"GO:0045662","GO:0045662","negative regulation of myoblast differentiation","2/54","25/18670",0.00236047023919634,0.0280757107273823,0.0209299899847007
"GO:0050866","GO:0050866","negative regulation of cell activation","4/54","199/18670",0.00261227552474947,0.03049058473649,0.0227302396494631
"GO:0070838","GO:0070838","divalent metal ion transport","6/54","483/18670",0.00262381886456442,0.03049058473649,0.0227302396494631
"GO:1901623","GO:1901623","regulation of lymphocyte chemotaxis","2/54","27/18670",0.00275154914774048,0.0313186379781614,0.0233475399993374
"GO:0050870","GO:0050870","positive regulation of T cell activation","4/54","202/18670",0.0027570314342793,0.0313186379781614,0.0233475399993374
"GO:0072511","GO:0072511","divalent inorganic cation transport","6/54","489/18670",0.00278957008815617,0.0313361706569543,0.0233606103288867
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","4/54","204/18670",0.00285654004651839,0.0317358460113197,0.0236585618659013
"GO:0010818","GO:0010818","T cell chemotaxis","2/54","28/18670",0.0029577307502123,0.0325028890050504,0.0242303800589474
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","3/54","100/18670",0.00303398284768974,0.0329823296668207,0.0245877953474347
"GO:0050900","GO:0050900","leukocyte migration","6/54","499/18670",0.00308319707237196,0.033160768512426,0.0247208186317841
"GO:0097529","GO:0097529","myeloid leukocyte migration","4/54","210/18670",0.00316981283965204,0.033394091245711,0.0248947569700964
"GO:0060142","GO:0060142","regulation of syncytium formation by plasma membrane fusion","2/54","29/18670",0.0031709522844592,0.033394091245711,0.0248947569700964
"GO:0001782","GO:0001782","B cell homeostasis","2/54","30/18670",0.00339117283881204,0.0349844463269283,0.0260803410589627
"GO:0050869","GO:0050869","negative regulation of B cell activation","2/54","30/18670",0.00339117283881204,0.0349844463269283,0.0260803410589627
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","3/54","105/18670",0.00348177808626033,0.0350929055620354,0.0261611956712139
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","3/54","105/18670",0.00348177808626033,0.0350929055620354,0.0261611956712139
"GO:0002699","GO:0002699","positive regulation of immune effector process","4/54","216/18670",0.00350581944783934,0.0350929055620354,0.0261611956712139
"GO:2000406","GO:2000406","positive regulation of T cell migration","2/54","31/18670",0.0036183516717433,0.0355617635811808,0.0265107217701342
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","4/54","218/18670",0.00362300855475927,0.0355617635811808,0.0265107217701342
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","3/54","107/18670",0.00367161012494513,0.0356922868876878,0.0266080247921125
"GO:0035587","GO:0035587","purinergic receptor signaling pathway","2/54","32/18670",0.00385244821125452,0.0367436334111162,0.0273917866857819
"GO:0045589","GO:0045589","regulation of regulatory T cell differentiation","2/54","32/18670",0.00385244821125452,0.0367436334111162,0.0273917866857819
"GO:0030595","GO:0030595","leukocyte chemotaxis","4/54","224/18670",0.00399053602704396,0.0377049712461817,0.0281084485525182
"GO:0072676","GO:0072676","lymphocyte migration","3/54","111/18670",0.00406999306151155,0.0380996572702609,0.0284026806241937
"GO:0050868","GO:0050868","negative regulation of T cell activation","3/54","112/18670",0.00417353343356455,0.0387104798287501,0.0288580389998282
"GO:0045066","GO:0045066","regulatory T cell differentiation","2/54","34/18670",0.0043412329660073,0.0398998775330308,0.0297447158245094
"GO:0032733","GO:0032733","positive regulation of interleukin-10 production","2/54","36/18670",0.00485720589451456,0.0442399563905785,0.0329801746844232
"GO:0030217","GO:0030217","T cell differentiation","4/54","240/18670",0.00509256178294946,0.0458554552999862,0.034184503092082
"GO:2000403","GO:2000403","positive regulation of lymphocyte migration","2/54","37/18670",0.00512528827784218,0.0458554552999862,0.034184503092082
"GO:0010959","GO:0010959","regulation of metal ion transport","5/54","394/18670",0.00552769411392636,0.0487238760710764,0.0363228645602486
"GO:0051209","GO:0051209","release of sequestered calcium ion into cytosol","3/54","124/18670",0.00554228066090385,0.0487238760710764,0.0363228645602486
